# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-T" "4" "-t" "gene" "-g" "gene" "-a" "/data/behringer_lab/Ref_Genome/E_coli/E_coli.gtf" "-o" "SRA_FimA_Counts.txt" "Sample_SRR8335000.sorted.bam" "Sample_SRR8335002.sorted.bam" "Sample_SRR8335003.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Sample_SRR8335000.sorted.bam	Sample_SRR8335002.sorted.bam	Sample_SRR8335003.sorted.bam
ycbF	NC_000913.3	1003947	1004657	+	711	711	477	138
pyrD	NC_000913.3	1004768	1005778	+	1011	463	235	104
zapC	NC_000913.3	1005952	1006494	+	543	396	367	475
ycbX	NC_000913.3	1006491	1007600	-	1110	1246	972	436
rlmL	NC_000913.3	1007844	1009952	+	2109	2450	1483	869
uup	NC_000913.3	1009964	1011871	+	1908	1977	1479	1423
pqiA	NC_000913.3	1012001	1013254	+	1254	1297	1047	675
pqiB	NC_000913.3	1013259	1014899	+	1641	1583	1315	952
pqiC	NC_000913.3	1014896	1015459	+	564	769	578	343
rmf	NC_000913.3	1015715	1015882	+	168	2660	6656	5574
fabA	NC_000913.3	1015952	1016470	-	519	1670	2328	1998
ycbZ	NC_000913.3	1016539	1018299	-	1761	2921	2787	2177
matP	NC_000913.3	1018485	1018937	+	453	584	447	445
ompA	NC_000913.3	1019013	1020053	-	1041	12218	8150	19873
sulA	NC_000913.3	1020410	1020919	-	510	1070	1012	530
sxy	NC_000913.3	1021138	1021767	+	630	480	308	104
yccS	NC_000913.3	1021730	1023883	-	2154	1522	905	402
yccF	NC_000913.3	1023902	1024348	-	447	277	171	56
helD	NC_000913.3	1024471	1026525	+	2055	2353	1450	1041
mgsA	NC_000913.3	1026557	1027015	-	459	1350	1269	538
yccT	NC_000913.3	1027111	1027773	-	663	817	652	130
yccU	NC_000913.3	1027946	1028359	+	414	1946	2388	365
hspQ	NC_000913.3	1028404	1028721	-	318	8857	7575	1633
rlmI	NC_000913.3	1028779	1029969	-	1191	984	603	224
yccX	NC_000913.3	1030064	1030342	+	279	570	519	110
tusE	NC_000913.3	1030339	1030668	-	330	677	717	147
yccA	NC_000913.3	1030759	1031418	-	660	2533	2330	302
serT	NC_000913.3	1031625	1031712	-	88	166	182	18
hyaA	NC_000913.3	1032139	1033257	+	1119	1115	692	113
hyaB	NC_000913.3	1033254	1035047	+	1794	1221	650	111
hyaC	NC_000913.3	1035066	1035773	+	708	685	391	44
hyaD	NC_000913.3	1035770	1036357	+	588	547	292	72
hyaE	NC_000913.3	1036354	1036752	+	399	264	160	34
hyaF	NC_000913.3	1036749	1037606	+	858	749	442	78
appC	NC_000913.3	1037740	1039284	+	1545	1286	744	136
appB	NC_000913.3	1039296	1040432	+	1137	1136	702	118
appX	NC_000913.3	1040445	1040537	+	93	155	88	21
appA	NC_000913.3	1040617	1041915	+	1299	927	567	183
etk	NC_000913.3	1042030	1044210	-	2181	1399	815	560
etp	NC_000913.3	1044230	1044676	-	447	200	113	32
gfcE	NC_000913.3	1044664	1045803	-	1140	676	409	75
gfcD	NC_000913.3	1045849	1047945	-	2097	1229	654	146
gfcC	NC_000913.3	1047945	1048691	-	747	383	204	37
gfcB	NC_000913.3	1048688	1049332	-	645	335	148	38
gfcA	NC_000913.3	1049439	1049744	-	306	173	113	215
insA4	NC_000913.3	1049833	1050108	+	276	139	98	180
insB4	NC_000913.3	1050027	1050530	+	504	908	777	1779
cspH	NC_000913.3	1050963	1051175	-	213	246	140	55
cspG	NC_000913.3	1051461	1051673	+	213	170	183	40
ymcF	NC_000913.3	1051684	1051872	+	189	35	12	4
ymcE	NC_000913.3	1051847	1052077	+	231	46	17	0
gnsA	NC_000913.3	1052067	1052240	+	174	257	194	37
yccM	NC_000913.3	1052289	1053362	-	1074	771	487	110
torS	NC_000913.3	1053434	1056178	-	2745	1807	1007	398
torT	NC_000913.3	1056261	1057289	+	1029	807	482	129
torR	NC_000913.3	1057262	1057954	-	693	667	371	113
torC	NC_000913.3	1058084	1059256	+	1173	610	319	36
torA	NC_000913.3	1059256	1061802	+	2547	1864	914	161
torD	NC_000913.3	1061799	1062398	+	600	446	293	322
cbpM	NC_000913.3	1062550	1062855	-	306	942	909	599
cbpA	NC_000913.3	1062855	1063775	-	921	2637	2616	1468
yccE	NC_000913.3	1064036	1065292	+	1257	169	127	20
agp	NC_000913.3	1065585	1066826	+	1242	15360	20610	246
yccJ	NC_000913.3	1066864	1067091	-	228	6488	5322	934
wrbA	NC_000913.3	1067112	1067708	-	597	9520	8877	2225
ymdF	NC_000913.3	1068081	1068254	+	174	2587	5195	6546
rutG	NC_000913.3	1068511	1069839	-	1329	1571	966	303
rutF	NC_000913.3	1069860	1070354	-	495	240	125	57
rutE	NC_000913.3	1070365	1070955	-	591	495	326	56
rutD	NC_000913.3	1070965	1071765	-	801	500	279	67
rutC	NC_000913.3	1071773	1072159	-	387	391	198	11
rutB	NC_000913.3	1072171	1072863	-	693	718	393	42
rutA	NC_000913.3	1072863	1074011	-	1149	965	486	62
rutR	NC_000913.3	1074242	1074880	+	639	723	448	80
putA	NC_000913.3	1074920	1078882	-	3963	9229	6475	640
ymdG	NC_000913.3	1079120	1079146	+	27	72	38	14
putP	NC_000913.3	1079305	1080813	+	1509	5450	6965	214
efeU	NC_000913.3	1081356	1082185	+	830	767	500	873
efeO	NC_000913.3	1082243	1083370	+	1128	794	407	887
efeB	NC_000913.3	1083376	1084647	+	1272	951	575	629
phoH	NC_000913.3	1084992	1086056	+	1065	3920	2748	320
pgaD	NC_000913.3	1086106	1086519	-	414	180	89	29
pgaC	NC_000913.3	1086521	1087846	-	1326	851	431	45
pgaB	NC_000913.3	1087839	1089857	-	2019	936	448	61
pgaA	NC_000913.3	1089866	1092289	-	2424	1139	574	126
dgcT	NC_000913.3	1092876	1094234	+	1359	353	243	78
insF4	NC_000913.3	1094275	1095141	-	867	738	411	222
insE4	NC_000913.3	1095138	1095437	-	300	152	119	98
ymdE	NC_000913.3	1095544	1095846	+	303	66	34	7
ycdU	NC_000913.3	1095843	1096829	+	987	481	309	32
serX	NC_000913.3	1097565	1097652	-	88	156	134	7
ghrA	NC_000913.3	1097886	1098824	+	939	1185	832	330
ycdX	NC_000913.3	1098879	1099616	+	738	979	757	364
ycdY	NC_000913.3	1099640	1100194	+	555	535	404	237
ycdZ	NC_000913.3	1100296	1100787	+	492	1135	1056	113
csgG	NC_000913.3	1100851	1101684	-	834	782	377	120
csgF	NC_000913.3	1101711	1102127	-	417	331	174	7
csgE	NC_000913.3	1102152	1102541	-	390	189	105	18
csgD	NC_000913.3	1102546	1103196	-	651	334	257	98
csgB	NC_000913.3	1103951	1104406	+	456	220	104	14
csgA	NC_000913.3	1104447	1104902	+	456	310	196	26
csgC	NC_000913.3	1104961	1105293	+	333	116	88	11
ymdA	NC_000913.3	1105414	1105725	+	312	169	145	25
ymdB	NC_000913.3	1105820	1106353	+	534	718	713	399
clsC	NC_000913.3	1106355	1107776	+	1422	1318	1371	633
opgC	NC_000913.3	1107784	1108941	-	1158	742	439	162
opgG	NC_000913.3	1109335	1110870	+	1536	2150	2129	1161
opgH	NC_000913.3	1110863	1113406	+	2544	2606	2552	1473
yceK	NC_000913.3	1113579	1113806	+	228	1770	1541	173
msyB	NC_000913.3	1113807	1114181	-	375	1875	1390	259
mdtG	NC_000913.3	1114264	1115490	-	1227	953	629	312
lpxL	NC_000913.3	1115662	1116582	-	921	987	606	234
trhO	NC_000913.3	1116807	1117859	+	1053	525	266	144
yceI	NC_000913.3	1117901	1118476	-	576	358	303	55
yceJ	NC_000913.3	1118480	1119046	-	567	317	172	28
yceO	NC_000913.3	1119307	1119447	-	141	96	83	14
solA	NC_000913.3	1119468	1120586	-	1119	1172	905	292
bssS	NC_000913.3	1120701	1120955	-	255	9037	10713	1616
dinI	NC_000913.3	1121242	1121487	-	246	219	144	77
pyrC	NC_000913.3	1121561	1122607	-	1047	491	348	276
yceB	NC_000913.3	1122713	1123273	-	561	587	363	331
grxB	NC_000913.3	1123407	1124054	-	648	3627	2741	809
mdtH	NC_000913.3	1124118	1125326	-	1209	1081	696	1166
rimJ	NC_000913.3	1125562	1126146	+	585	910	1085	514
yceH	NC_000913.3	1126157	1126804	+	648	1048	1134	401
yceM	NC_000913.3	1126806	1127729	+	924	1497	1456	535
murJ	NC_000913.3	1127839	1129374	+	1536	1041	673	304
flgN	NC_000913.3	1129414	1129830	-	417	272	176	64
flgM	NC_000913.3	1129835	1130128	-	294	169	115	39
flgA	NC_000913.3	1130204	1130863	-	660	546	308	51
flgB	NC_000913.3	1131018	1131434	+	417	239	134	12
flgC	NC_000913.3	1131438	1131842	+	405	275	119	12
flgD	NC_000913.3	1131854	1132549	+	696	486	280	41
flgE	NC_000913.3	1132574	1133782	+	1209	680	396	80
flgF	NC_000913.3	1133802	1134557	+	756	403	193	56
flgG	NC_000913.3	1134729	1135511	+	783	584	292	57
flgH	NC_000913.3	1135564	1136262	+	699	399	195	40
flgI	NC_000913.3	1136274	1137371	+	1098	714	401	64
flgJ	NC_000913.3	1137371	1138312	+	942	645	324	88
flgK	NC_000913.3	1138378	1140021	+	1644	786	461	85
flgL	NC_000913.3	1140033	1140986	+	954	770	449	132
flgO	NC_000913.3	1140986	1141063	+	78	24	13	0
rne	NC_000913.3	1141182	1144367	-	3186	5927	7533	2876
yceQ	NC_000913.3	1144502	1144822	+	321	886	1053	425
rluC	NC_000913.3	1144940	1145899	+	960	726	491	205
yceF	NC_000913.3	1146011	1146595	-	585	1241	1221	191
sraB	NC_000913.3	1146589	1146757	+	169	87	83	21
yceD	NC_000913.3	1146794	1147315	+	522	2253	3304	1326
rpmF	NC_000913.3	1147367	1147540	+	174	2116	4067	1248
plsX	NC_000913.3	1147621	1148691	+	1071	1162	1107	766
fabH	NC_000913.3	1148759	1149712	+	954	1483	1618	452
fabD	NC_000913.3	1149728	1150657	+	930	2118	2233	511
fabG	NC_000913.3	1150670	1151404	+	735	11624	16355	1487
acpP	NC_000913.3	1151615	1151851	+	237	13225	16860	2588
fabF	NC_000913.3	1151939	1153180	+	1242	3636	4646	2794
pabC	NC_000913.3	1153300	1154109	+	810	591	562	133
mltG	NC_000913.3	1154112	1155134	+	1023	894	697	290
tmk	NC_000913.3	1155124	1155765	+	642	549	491	388
holB	NC_000913.3	1155762	1156766	+	1005	894	585	642
ycfH	NC_000913.3	1156777	1157574	+	798	4372	4579	901
ptsG	NC_000913.3	1157869	1159302	+	1434	60198	55294	1134
fhuE	NC_000913.3	1159362	1161551	-	2190	1663	960	337
hinT	NC_000913.3	1161885	1162244	+	360	1265	1411	428
ycfL	NC_000913.3	1162247	1162624	+	378	1062	1110	332
lpoB	NC_000913.3	1162638	1163279	+	642	2102	2044	727
thiK	NC_000913.3	1163260	1164084	+	825	623	448	245
nagZ	NC_000913.3	1164095	1165120	+	1026	1360	891	683
ycfP	NC_000913.3	1165143	1165685	+	543	2291	1438	651
ndh	NC_000913.3	1166085	1167389	+	1305	1011	526	271
ycfJ	NC_000913.3	1167599	1168138	+	540	434	323	215
comR	NC_000913.3	1168200	1168832	-	633	514	343	443
bhsA	NC_000913.3	1169073	1169330	+	258	236	168	1440
bhsB	NC_000913.3	1169303	1169402	+	100	25	20	5
ldtC	NC_000913.3	1169412	1170374	-	963	586	1005	78
mfd	NC_000913.3	1170518	1173964	-	3447	3181	2708	2063
ycfT	NC_000913.3	1174092	1175165	-	1074	755	397	76
lolC	NC_000913.3	1175427	1176626	+	1200	667	481	331
lolD	NC_000913.3	1176619	1177320	+	702	521	341	364
lolE	NC_000913.3	1177320	1178564	+	1245	1080	952	666
nagK	NC_000913.3	1178593	1179504	+	912	925	966	776
cobB	NC_000913.3	1179520	1180359	+	840	689	575	475
ycfZ	NC_000913.3	1180479	1181267	-	789	340	195	27
ymfA	NC_000913.3	1181264	1181725	-	462	240	140	19
potD	NC_000913.3	1181783	1182829	-	1047	1378	1939	467
potC	NC_000913.3	1182826	1183620	-	795	457	424	171
potB	NC_000913.3	1183617	1184444	-	828	371	225	139
potA	NC_000913.3	1184458	1185594	-	1137	738	520	404
pepT	NC_000913.3	1185844	1187070	+	1227	2413	2821	730
roxA	NC_000913.3	1187119	1188240	-	1122	1345	1477	1863
phoQ	NC_000913.3	1188316	1189776	-	1461	1159	962	1123
phoP	NC_000913.3	1189776	1190447	-	672	655	776	672
purB	NC_000913.3	1190616	1191986	-	1371	974	692	649
hflD	NC_000913.3	1191990	1192631	-	642	421	319	742
mnmA	NC_000913.3	1192667	1193773	-	1107	962	743	1380
nudJ	NC_000913.3	1193827	1194288	-	462	379	278	147
rluE	NC_000913.3	1194298	1194951	-	654	440	365	161
icd	NC_000913.3	1195123	1196373	+	1251	7869	5919	3049
C0293	NC_000913.3	1196711	1196782	+	72	59	47	16
ymfD	NC_000913.3	1196867	1197532	-	666	168	126	29
ymfE	NC_000913.3	1197533	1198237	-	705	140	127	22
lit	NC_000913.3	1198695	1199588	+	894	159	141	50
intE	NC_000913.3	1199679	1200806	-	1128	468	397	193
xisE	NC_000913.3	1200787	1201032	-	246	91	87	47
ymfH	NC_000913.3	1201069	1201380	-	312	117	75	35
ymfI	NC_000913.3	1201497	1201838	+	342	237	275	188
ymfJ	NC_000913.3	1201776	1202084	-	309	195	177	87
ymfK	NC_000913.3	1202259	1202933	-	675	481	330	215
ymfT	NC_000913.3	1203024	1203224	+	201	33	29	26
ymfL	NC_000913.3	1203268	1203825	+	558	198	111	78
ymfM	NC_000913.3	1203822	1204160	+	339	122	70	11
ymfN	NC_000913.3	1204170	1205537	+	1368	2	3	1
oweE	NC_000913.3	1204170	1204403	+	234	0	0	0
aaaE	NC_000913.3	1204401	1205537	+	1137	0	0	0
ymfR	NC_000913.3	1205549	1205731	+	183	74	35	8
beeE	NC_000913.3	1205731	1206204	+	474	241	127	31
jayE	NC_000913.3	1206131	1206922	+	792	295	156	28
ymfQ	NC_000913.3	1206913	1207497	+	585	321	165	17
ycfK	NC_000913.3	1207501	1208130	+	630	199	101	25
tfaP	NC_000913.3	1208132	1208545	+	414	78	37	10
tfaE	NC_000913.3	1208517	1209119	-	603	150	103	32
stfE	NC_000913.3	1209119	1209655	-	537	113	65	13
pinE	NC_000913.3	1209685	1210239	+	555	185	80	14
mcrA	NC_000913.3	1210346	1211179	+	834	224	136	60
icdC	NC_000913.3	1211413	1211577	+	165	15	23	11
iraM	NC_000913.3	1211680	1212003	-	324	24	28	5
ymgK	NC_000913.3	1212260	1212304	-	45	3	12	1
ymgL	NC_000913.3	1212540	1212650	-	111	23	5	2
ycgX	NC_000913.3	1212703	1213107	-	405	57	36	20
bluR	NC_000913.3	1213328	1214059	-	732	1096	753	1272
bluF	NC_000913.3	1214264	1215475	-	1212	572	538	118
ycgZ	NC_000913.3	1215789	1216025	+	237	349	106	24
ymgA	NC_000913.3	1216068	1216340	+	273	511	191	40
ariR	NC_000913.3	1216369	1216635	+	267	1949	991	26
ymgC	NC_000913.3	1216748	1216996	+	249	457	173	21
pdeG	NC_000913.3	1217328	1218851	+	1524	638	401	81
ymgF	NC_000913.3	1218983	1219201	+	219	81	49	36
ycgH	NC_000913.3	1219601	1222248	+	2648	1282	986	272
ymgD	NC_000913.3	1222305	1222634	-	330	426	281	73
ymgG	NC_000913.3	1222644	1222988	-	345	122	58	19
ymgI	NC_000913.3	1222990	1223163	-	174	22	21	5
ymgJ	NC_000913.3	1223264	1223449	+	186	33	23	5
ycgI	NC_000913.3	1223564	1223907	+	344	360	274	55
minE	NC_000913.3	1224279	1224545	-	267	791	686	150
minD	NC_000913.3	1224549	1225361	-	813	2169	1860	654
minC	NC_000913.3	1225385	1226080	-	696	1478	1236	603
ycgJ	NC_000913.3	1226600	1226968	+	369	168	171	121
pliG	NC_000913.3	1227071	1227472	-	402	355	356	165
ymgN	NC_000913.3	1227368	1227427	+	60	0	0	0
ycgL	NC_000913.3	1227681	1228007	+	327	501	543	83
ycgM	NC_000913.3	1228079	1228738	+	660	918	950	136
ycgN	NC_000913.3	1228815	1229276	+	462	476	441	287
hlyE	NC_000913.3	1229483	1230394	-	912	270	205	49
umuD	NC_000913.3	1230767	1231186	+	420	187	146	55
umuC	NC_000913.3	1231186	1232454	+	1269	825	379	108
dsbB	NC_000913.3	1232500	1233030	-	531	482	444	262
nhaB	NC_000913.3	1233176	1234717	-	1542	1068	711	492
fadR	NC_000913.3	1234938	1235657	+	720	1332	1360	311
ycgB	NC_000913.3	1235709	1237241	-	1533	18546	29211	1523
dadA	NC_000913.3	1237571	1238869	+	1299	5356	6515	3155
dadX	NC_000913.3	1238879	1239949	+	1071	3259	3367	2094
ymgM	NC_000913.3	1240260	1240463	+	204	134	92	90
cvrA	NC_000913.3	1240335	1242071	-	1737	1093	711	531
ldcA	NC_000913.3	1242166	1243080	-	915	656	420	359
emtA	NC_000913.3	1243180	1243791	+	612	612	419	94
ycgR	NC_000913.3	1243793	1244527	-	735	401	239	33
ymgE	NC_000913.3	1244728	1244982	+	255	2800	3122	163
ycgY	NC_000913.3	1245160	1245600	+	441	386	378	50
treA	NC_000913.3	1245679	1247376	-	1698	5195	9355	263
dhaM	NC_000913.3	1247696	1249114	-	1419	950	811	745
dhaL	NC_000913.3	1249125	1249757	-	633	513	486	232
dhaK	NC_000913.3	1249768	1250838	-	1071	766	873	437
dhaR	NC_000913.3	1251066	1252985	+	1920	1216	669	262
ycgV	NC_000913.3	1253085	1255952	-	2868	1589	958	408
ychF	NC_000913.3	1256721	1257812	-	1092	1149	669	170
pth	NC_000913.3	1257929	1258513	-	585	360	255	80
ychH	NC_000913.3	1258791	1259069	+	279	91913	76194	1200
dauA	NC_000913.3	1259124	1260803	-	1680	1875	1447	515
prs	NC_000913.3	1260928	1261875	-	948	678	522	717
ispE	NC_000913.3	1262026	1262877	-	852	719	662	1019
lolB	NC_000913.3	1262877	1263500	-	624	555	532	312
hemA	NC_000913.3	1263714	1264970	+	1257	1471	1420	679
prfA	NC_000913.3	1265012	1266094	+	1083	821	730	317
prmC	NC_000913.3	1266094	1266927	+	834	425	272	137
ychQ	NC_000913.3	1266924	1267316	+	393	131	75	56
ychA	NC_000913.3	1267320	1268129	+	810	961	700	1334
kdsA	NC_000913.3	1268165	1269019	+	855	1752	1273	1812
ldrA	NC_000913.3	1269168	1269275	-	108	111	118	230
rdlA	NC_000913.3	1269323	1269389	+	67	77	78	89
ldrB	NC_000913.3	1269703	1269810	-	108	189	152	80
rdlB	NC_000913.3	1269858	1269923	+	66	94	172	36
ldrC	NC_000913.3	1270238	1270345	-	108	165	128	36
rdlC	NC_000913.3	1270393	1270460	+	68	110	168	49
chaA	NC_000913.3	1270749	1271849	-	1101	587	439	146
chaB	NC_000913.3	1272119	1272349	+	231	714	849	170
chaC	NC_000913.3	1272507	1273202	+	696	892	925	696
ychN	NC_000913.3	1273246	1273599	-	354	1231	2098	200
ychO	NC_000913.3	1273784	1275178	+	1395	789	499	343
narL	NC_000913.3	1275179	1275829	-	651	756	480	223
narX	NC_000913.3	1275822	1277618	-	1797	1357	892	362
narK	NC_000913.3	1277957	1279348	+	1392	847	465	87
narS	NC_000913.3	1279337	1279520	+	184	45	22	5
narG	NC_000913.3	1279864	1283607	+	3744	2053	1144	295
narH	NC_000913.3	1283604	1285142	+	1539	759	403	183
narJ	NC_000913.3	1285139	1285849	+	711	310	141	99
narI	NC_000913.3	1285849	1286526	+	678	347	212	43
ychS	NC_000913.3	1286709	1286984	+	276	297	218	194
rttR	NC_000913.3	1287066	1287236	-	171	27	6	3
tpr	NC_000913.3	1287087	1287176	-	90	0	0	0
tyrV	NC_000913.3	1287244	1287328	-	85	72	49	121
tyrT	NC_000913.3	1287538	1287622	-	85	95	80	75
purU	NC_000913.3	1287782	1288624	-	843	566	408	425
ychJ	NC_000913.3	1288674	1289132	-	459	273	133	179
rssA	NC_000913.3	1289245	1290150	+	906	4047	5022	751
rssB	NC_000913.3	1290242	1291255	+	1014	4731	5010	1037
galU	NC_000913.3	1291457	1292365	+	909	3776	3222	1171
hns	NC_000913.3	1292509	1292922	-	414	7113	6979	2656
tdk	NC_000913.3	1293527	1294144	+	618	255	160	46
insZ	NC_000913.3	1294426	1295322	-	897	496	273	148
adhE	NC_000913.3	1295446	1298121	-	2676	14440	20560	5032
ychT	NC_000913.3	1298514	1298567	+	54	47	39	15
ychE	NC_000913.3	1298598	1299245	+	648	233	146	103
insH21	NC_000913.3	1299567	1300547	+	981	2036	1607	566
oppA	NC_000913.3	1301182	1302813	+	1632	2950	3729	5014
oppB	NC_000913.3	1302899	1303819	+	921	486	327	496
oppC	NC_000913.3	1303834	1304742	+	909	742	551	914
oppD	NC_000913.3	1304754	1305767	+	1014	782	540	1603
oppF	NC_000913.3	1305764	1306768	+	1005	1052	749	1398
yciU	NC_000913.3	1306821	1307150	-	330	297	308	380
clsA	NC_000913.3	1307185	1308645	-	1461	1586	1498	925
yciY	NC_000913.3	1308788	1308961	+	174	130	91	203
kch	NC_000913.3	1309016	1310269	-	1254	753	502	313
yciI	NC_000913.3	1310569	1310865	-	297	262	147	103
tonB	NC_000913.3	1311089	1311808	+	720	340	211	1189
yciA	NC_000913.3	1311848	1312246	-	399	199	99	156
yciB	NC_000913.3	1312351	1312890	-	540	950	861	699
yciC	NC_000913.3	1312920	1313663	-	744	717	598	634
ompW	NC_000913.3	1314020	1314658	+	639	331	268	36
yciE	NC_000913.3	1314718	1315224	-	507	442	535	293
yciF	NC_000913.3	1315270	1315770	-	501	415	366	291
yciG	NC_000913.3	1315856	1316035	-	180	542	1699	348
trpA	NC_000913.3	1316416	1317222	-	807	793	599	505
trpB	NC_000913.3	1317222	1318415	-	1194	887	667	653
trpC	NC_000913.3	1318427	1319788	-	1362	923	607	527
trpD	NC_000913.3	1319789	1321384	-	1596	805	455	429
trpE	NC_000913.3	1321384	1322946	-	1563	991	543	332
trpL	NC_000913.3	1323038	1323082	-	45	56	28	11
rnm	NC_000913.3	1323220	1324101	+	882	748	559	312
yciO	NC_000913.3	1324098	1324718	+	621	911	803	459
yciQ	NC_000913.3	1324746	1326641	+	1896	1069	688	227
rluB	NC_000913.3	1326852	1327727	+	876	651	491	234
btuR	NC_000913.3	1327767	1328357	-	591	509	352	145
yciK	NC_000913.3	1328354	1329112	-	759	854	546	175
sohB	NC_000913.3	1329332	1330381	+	1050	932	647	522
yciN	NC_000913.3	1330417	1330668	-	252	242	153	204
topA	NC_000913.3	1331048	1333645	+	2598	3247	4979	1306
cysB	NC_000913.3	1333855	1334829	+	975	1310	1011	578
ymiA	NC_000913.3	1335148	1335288	+	141	188	167	34
yciX	NC_000913.3	1335291	1335458	+	168	288	253	51
ymiC	NC_000913.3	1335572	1335667	+	96	53	60	23
acnA	NC_000913.3	1335831	1338506	+	2676	8554	12372	2500
ribA	NC_000913.3	1338570	1339160	-	591	1100	981	590
pgpB	NC_000913.3	1339330	1340094	+	765	776	731	359
lapA	NC_000913.3	1340243	1340551	+	309	643	714	549
lapB	NC_000913.3	1340558	1341727	+	1170	1382	1160	1196
pyrF	NC_000913.3	1341921	1342658	+	738	467	303	257
yciH	NC_000913.3	1342658	1342984	+	327	160	106	27
osmB	NC_000913.3	1343110	1343328	-	219	9644	11461	2059
yciT	NC_000913.3	1343597	1344346	-	750	469	354	200
yciZ	NC_000913.3	1344436	1344609	-	174	107	79	144
ymiD	NC_000913.3	1344647	1344775	+	129	52	34	12
pdeR	NC_000913.3	1344757	1346742	-	1986	2929	2927	587
ymiB	NC_000913.3	1346796	1346900	+	105	26	10	22
rnb	NC_000913.3	1346978	1348912	-	1935	1323	1195	1707
yciW	NC_000913.3	1348980	1350107	-	1128	894	1344	1093
fabI	NC_000913.3	1350251	1351039	-	789	6780	4983	1271
ycjD	NC_000913.3	1351407	1351760	-	354	295	221	147
sapF	NC_000913.3	1351828	1352634	-	807	683	555	330
sapD	NC_000913.3	1352636	1353628	-	993	1297	1189	599
sapC	NC_000913.3	1353628	1354518	-	891	823	767	344
sapB	NC_000913.3	1354505	1355470	-	966	909	788	419
sapA	NC_000913.3	1355467	1357110	-	1644	1882	1613	995
ymjA	NC_000913.3	1357423	1357668	-	246	209	182	146
puuP	NC_000913.3	1357802	1359187	-	1386	1109	579	77
ymjE	NC_000913.3	1359177	1359341	-	165	97	66	3
puuA	NC_000913.3	1359490	1360908	-	1419	869	664	100
puuD	NC_000913.3	1361120	1361884	+	765	709	561	105
puuR	NC_000913.3	1361911	1362468	+	558	534	445	55
puuC	NC_000913.3	1362743	1364230	+	1488	1080	673	140
puuB	NC_000913.3	1364232	1365512	+	1281	569	343	90
puuE	NC_000913.3	1365550	1366815	+	1266	837	511	134
pspF	NC_000913.3	1366935	1367912	-	978	472	273	230
pspA	NC_000913.3	1368079	1368747	+	669	13778	11521	833
pspB	NC_000913.3	1368801	1369025	+	225	1928	1520	142
pspC	NC_000913.3	1369025	1369384	+	360	3454	2652	226
pspD	NC_000913.3	1369393	1369614	+	222	2024	1564	105
pspE	NC_000913.3	1369689	1370003	+	315	4299	3228	185
ycjM	NC_000913.3	1370216	1371895	+	1680	640	361	33
ycjN	NC_000913.3	1371909	1373201	+	1293	590	317	31
ycjO	NC_000913.3	1373222	1374103	+	882	471	208	36
ycjP	NC_000913.3	1374090	1374932	+	843	471	277	35
ycjQ	NC_000913.3	1374963	1376015	+	1053	580	302	67
ycjR	NC_000913.3	1376034	1376822	+	789	325	151	33
ycjS	NC_000913.3	1376832	1377887	+	1056	615	293	51
ycjT	NC_000913.3	1377884	1380151	+	2268	1293	630	113
ycjU	NC_000913.3	1380148	1380807	+	660	354	183	47
ycjV	NC_000913.3	1380821	1381789	+	969	375	195	55
ymjB	NC_000913.3	1381789	1381902	+	114	21	26	2
ompG	NC_000913.3	1381947	1382852	+	906	401	295	23
ycjW	NC_000913.3	1382963	1383961	-	999	420	205	50
ycjX	NC_000913.3	1384117	1385514	+	1398	1515	2682	1740
ycjF	NC_000913.3	1385511	1386572	+	1062	1056	1422	874
tyrR	NC_000913.3	1386720	1388261	+	1542	1630	1641	1160
tpx	NC_000913.3	1388305	1388811	-	507	1298	1155	892
ycjG	NC_000913.3	1388930	1389895	+	966	1144	1107	770
mpaA	NC_000913.3	1389870	1390598	-	729	1295	1419	545
ymjC	NC_000913.3	1390680	1390862	-	183	84	43	25
ymjD	NC_000913.3	1390868	1390933	-	66	9	9	3
ycjY	NC_000913.3	1390933	1391853	-	921	383	217	82
pgrR	NC_000913.3	1391991	1392890	+	900	393	238	126
mppA	NC_000913.3	1393227	1394840	+	1614	1527	1648	253
ynaI	NC_000913.3	1394891	1395922	-	1032	487	276	278
insH4	NC_000913.3	1396112	1397092	+	981	2118	1635	611
ynaJ	NC_000913.3	1397365	1397622	+	258	725	688	279
uspE	NC_000913.3	1397672	1398622	-	951	12210	11862	1545
fnr	NC_000913.3	1398774	1399526	-	753	4960	5556	1982
ogt	NC_000913.3	1399721	1400236	-	516	293	179	99
abgT	NC_000913.3	1400247	1401773	-	1527	688	393	63
abgB	NC_000913.3	1401810	1403255	-	1446	783	383	109
abgA	NC_000913.3	1403255	1404565	-	1311	593	297	47
abgR	NC_000913.3	1404741	1405649	+	909	480	297	37
mcaS	NC_000913.3	1405658	1405751	-	94	40	37	18
smrA	NC_000913.3	1405979	1406542	+	564	825	612	149
dgcM	NC_000913.3	1406563	1407795	-	1233	7926	7088	351
ynaN	NC_000913.3	1407989	1408036	+	48	6	5	0
zntB	NC_000913.3	1408050	1409033	+	984	1322	1097	447
fnrS	NC_000913.3	1409129	1409250	+	122	135	99	51
ynaL	NC_000913.3	1409308	1409481	+	174	123	100	33
dbpA	NC_000913.3	1409511	1410884	+	1374	793	535	194
ttcA	NC_000913.3	1411013	1411948	-	936	730	574	428
