Geneid	Chr	Start	End	Strand	Length
ymfH	NC_000913.3	1201069	1201380	-	312
ymfI	NC_000913.3	1201497	1201838	+	342
ymfJ	NC_000913.3	1201776	1202084	-	309
ymfK	NC_000913.3	1202259	1202933	-	675
ymfT	NC_000913.3	1203024	1203224	+	201
ymfL	NC_000913.3	1203268	1203825	+	558
ymfM	NC_000913.3	1203822	1204160	+	339
ymfN	NC_000913.3	1204170	1205537	+	1368
oweE	NC_000913.3	1204170	1204403	+	234
aaaE	NC_000913.3	1204401	1205537	+	1137
ymfR	NC_000913.3	1205549	1205731	+	183
beeE	NC_000913.3	1205731	1206204	+	474
jayE	NC_000913.3	1206131	1206922	+	792
ymfQ	NC_000913.3	1206913	1207497	+	585
ycfK	NC_000913.3	1207501	1208130	+	630
tfaP	NC_000913.3	1208132	1208545	+	414
tfaE	NC_000913.3	1208517	1209119	-	603
stfE	NC_000913.3	1209119	1209655	-	537
pinE	NC_000913.3	1209685	1210239	+	555
mcrA	NC_000913.3	1210346	1211179	+	834
icdC	NC_000913.3	1211413	1211577	+	165
iraM	NC_000913.3	1211680	1212003	-	324
ymgK	NC_000913.3	1212260	1212304	-	45
ymgL	NC_000913.3	1212540	1212650	-	111
ycgX	NC_000913.3	1212703	1213107	-	405
bluR	NC_000913.3	1213328	1214059	-	732
bluF	NC_000913.3	1214264	1215475	-	1212
ycgZ	NC_000913.3	1215789	1216025	+	237
ymgA	NC_000913.3	1216068	1216340	+	273
ariR	NC_000913.3	1216369	1216635	+	267
ymgC	NC_000913.3	1216748	1216996	+	249
pdeG	NC_000913.3	1217328	1218851	+	1524
ymgF	NC_000913.3	1218983	1219201	+	219
ycgH	NC_000913.3	1219601	1222248	+	2648
ymgD	NC_000913.3	1222305	1222634	-	330
ymgG	NC_000913.3	1222644	1222988	-	345
ymgI	NC_000913.3	1222990	1223163	-	174
ymgJ	NC_000913.3	1223264	1223449	+	186
ycgI	NC_000913.3	1223564	1223907	+	344
minE	NC_000913.3	1224279	1224545	-	267
minD	NC_000913.3	1224549	1225361	-	813
minC	NC_000913.3	1225385	1226080	-	696
ycgJ	NC_000913.3	1226600	1226968	+	369
pliG	NC_000913.3	1227071	1227472	-	402
ymgN	NC_000913.3	1227368	1227427	+	60
ycgL	NC_000913.3	1227681	1228007	+	327
ycgM	NC_000913.3	1228079	1228738	+	660
ycgN	NC_000913.3	1228815	1229276	+	462
hlyE	NC_000913.3	1229483	1230394	-	912
umuD	NC_000913.3	1230767	1231186	+	420
umuC	NC_000913.3	1231186	1232454	+	1269
dsbB	NC_000913.3	1232500	1233030	-	531
nhaB	NC_000913.3	1233176	1234717	-	1542
fadR	NC_000913.3	1234938	1235657	+	720
ycgB	NC_000913.3	1235709	1237241	-	1533
dadA	NC_000913.3	1237571	1238869	+	1299
dadX	NC_000913.3	1238879	1239949	+	1071
ymgM	NC_000913.3	1240260	1240463	+	204
cvrA	NC_000913.3	1240335	1242071	-	1737
ldcA	NC_000913.3	1242166	1243080	-	915
emtA	NC_000913.3	1243180	1243791	+	612
ycgR	NC_000913.3	1243793	1244527	-	735
ymgE	NC_000913.3	1244728	1244982	+	255
ycgY	NC_000913.3	1245160	1245600	+	441
treA	NC_000913.3	1245679	1247376	-	1698
dhaM	NC_000913.3	1247696	1249114	-	1419
dhaL	NC_000913.3	1249125	1249757	-	633
dhaK	NC_000913.3	1249768	1250838	-	1071
dhaR	NC_000913.3	1251066	1252985	+	1920
ycgV	NC_000913.3	1253085	1255952	-	2868
ychF	NC_000913.3	1256721	1257812	-	1092
pth	NC_000913.3	1257929	1258513	-	585
ychH	NC_000913.3	1258791	1259069	+	279
dauA	NC_000913.3	1259124	1260803	-	1680
prs	NC_000913.3	1260928	1261875	-	948
ispE	NC_000913.3	1262026	1262877	-	852
lolB	NC_000913.3	1262877	1263500	-	624
hemA	NC_000913.3	1263714	1264970	+	1257
prfA	NC_000913.3	1265012	1266094	+	1083
prmC	NC_000913.3	1266094	1266927	+	834
ychQ	NC_000913.3	1266924	1267316	+	393
ychA	NC_000913.3	1267320	1268129	+	810
kdsA	NC_000913.3	1268165	1269019	+	855
ldrA	NC_000913.3	1269168	1269275	-	108
rdlA	NC_000913.3	1269323	1269389	+	67
ldrB	NC_000913.3	1269703	1269810	-	108
rdlB	NC_000913.3	1269858	1269923	+	66
ldrC	NC_000913.3	1270238	1270345	-	108
rdlC	NC_000913.3	1270393	1270460	+	68
chaA	NC_000913.3	1270749	1271849	-	1101
chaB	NC_000913.3	1272119	1272349	+	231
chaC	NC_000913.3	1272507	1273202	+	696
ychN	NC_000913.3	1273246	1273599	-	354
ychO	NC_000913.3	1273784	1275178	+	1395
narL	NC_000913.3	1275179	1275829	-	651
narX	NC_000913.3	1275822	1277618	-	1797
narK	NC_000913.3	1277957	1279348	+	1392
narS	NC_000913.3	1279337	1279520	+	184
narG	NC_000913.3	1279864	1283607	+	3744
narH	NC_000913.3	1283604	1285142	+	1539
narJ	NC_000913.3	1285139	1285849	+	711
narI	NC_000913.3	1285849	1286526	+	678
ychS	NC_000913.3	1286709	1286984	+	276
rttR	NC_000913.3	1287066	1287236	-	171
tpr	NC_000913.3	1287087	1287176	-	90
tyrV	NC_000913.3	1287244	1287328	-	85
tyrT	NC_000913.3	1287538	1287622	-	85
purU	NC_000913.3	1287782	1288624	-	843
ychJ	NC_000913.3	1288674	1289132	-	459
rssA	NC_000913.3	1289245	1290150	+	906
rssB	NC_000913.3	1290242	1291255	+	1014
galU	NC_000913.3	1291457	1292365	+	909
hns	NC_000913.3	1292509	1292922	-	414
tdk	NC_000913.3	1293527	1294144	+	618
insZ	NC_000913.3	1294426	1295322	-	897
adhE	NC_000913.3	1295446	1298121	-	2676
ychT	NC_000913.3	1298514	1298567	+	54
ychE	NC_000913.3	1298598	1299245	+	648
insH21	NC_000913.3	1299567	1300547	+	981
oppA	NC_000913.3	1301182	1302813	+	1632
oppB	NC_000913.3	1302899	1303819	+	921
oppC	NC_000913.3	1303834	1304742	+	909
oppD	NC_000913.3	1304754	1305767	+	1014
oppF	NC_000913.3	1305764	1306768	+	1005
yciU	NC_000913.3	1306821	1307150	-	330
clsA	NC_000913.3	1307185	1308645	-	1461
yciY	NC_000913.3	1308788	1308961	+	174
kch	NC_000913.3	1309016	1310269	-	1254
yciI	NC_000913.3	1310569	1310865	-	297
tonB	NC_000913.3	1311089	1311808	+	720
yciA	NC_000913.3	1311848	1312246	-	399
yciB	NC_000913.3	1312351	1312890	-	540
yciC	NC_000913.3	1312920	1313663	-	744
ompW	NC_000913.3	1314020	1314658	+	639
yciE	NC_000913.3	1314718	1315224	-	507
yciF	NC_000913.3	1315270	1315770	-	501
yciG	NC_000913.3	1315856	1316035	-	180
trpA	NC_000913.3	1316416	1317222	-	807
trpB	NC_000913.3	1317222	1318415	-	1194
trpC	NC_000913.3	1318427	1319788	-	1362
trpD	NC_000913.3	1319789	1321384	-	1596
trpE	NC_000913.3	1321384	1322946	-	1563
trpL	NC_000913.3	1323038	1323082	-	45
rnm	NC_000913.3	1323220	1324101	+	882
yciO	NC_000913.3	1324098	1324718	+	621
yciQ	NC_000913.3	1324746	1326641	+	1896
rluB	NC_000913.3	1326852	1327727	+	876
btuR	NC_000913.3	1327767	1328357	-	591
yciK	NC_000913.3	1328354	1329112	-	759
sohB	NC_000913.3	1329332	1330381	+	1050
yciN	NC_000913.3	1330417	1330668	-	252
topA	NC_000913.3	1331048	1333645	+	2598
cysB	NC_000913.3	1333855	1334829	+	975
ymiA	NC_000913.3	1335148	1335288	+	141
yciX	NC_000913.3	1335291	1335458	+	168
ymiC	NC_000913.3	1335572	1335667	+	96
acnA	NC_000913.3	1335831	1338506	+	2676
ribA	NC_000913.3	1338570	1339160	-	591
pgpB	NC_000913.3	1339330	1340094	+	765
lapA	NC_000913.3	1340243	1340551	+	309
lapB	NC_000913.3	1340558	1341727	+	1170
pyrF	NC_000913.3	1341921	1342658	+	738
yciH	NC_000913.3	1342658	1342984	+	327
osmB	NC_000913.3	1343110	1343328	-	219
yciT	NC_000913.3	1343597	1344346	-	750
yciZ	NC_000913.3	1344436	1344609	-	174
ymiD	NC_000913.3	1344647	1344775	+	129
pdeR	NC_000913.3	1344757	1346742	-	1986
ymiB	NC_000913.3	1346796	1346900	+	105
rnb	NC_000913.3	1346978	1348912	-	1935
yciW	NC_000913.3	1348980	1350107	-	1128
fabI	NC_000913.3	1350251	1351039	-	789
ycjD	NC_000913.3	1351407	1351760	-	354
sapF	NC_000913.3	1351828	1352634	-	807
sapD	NC_000913.3	1352636	1353628	-	993
sapC	NC_000913.3	1353628	1354518	-	891
sapB	NC_000913.3	1354505	1355470	-	966
sapA	NC_000913.3	1355467	1357110	-	1644
ymjA	NC_000913.3	1357423	1357668	-	246
puuP	NC_000913.3	1357802	1359187	-	1386
ymjE	NC_000913.3	1359177	1359341	-	165
puuA	NC_000913.3	1359490	1360908	-	1419
puuD	NC_000913.3	1361120	1361884	+	765
puuR	NC_000913.3	1361911	1362468	+	558
puuC	NC_000913.3	1362743	1364230	+	1488
puuB	NC_000913.3	1364232	1365512	+	1281
puuE	NC_000913.3	1365550	1366815	+	1266
pspF	NC_000913.3	1366935	1367912	-	978
pspA	NC_000913.3	1368079	1368747	+	669
pspB	NC_000913.3	1368801	1369025	+	225
pspC	NC_000913.3	1369025	1369384	+	360
pspD	NC_000913.3	1369393	1369614	+	222
pspE	NC_000913.3	1369689	1370003	+	315
ycjM	NC_000913.3	1370216	1371895	+	1680
ycjN	NC_000913.3	1371909	1373201	+	1293
ycjO	NC_000913.3	1373222	1374103	+	882
ycjP	NC_000913.3	1374090	1374932	+	843
ycjQ	NC_000913.3	1374963	1376015	+	1053
ycjR	NC_000913.3	1376034	1376822	+	789
ycjS	NC_000913.3	1376832	1377887	+	1056
ycjT	NC_000913.3	1377884	1380151	+	2268
ycjU	NC_000913.3	1380148	1380807	+	660
ycjV	NC_000913.3	1380821	1381789	+	969
ymjB	NC_000913.3	1381789	1381902	+	114
ompG	NC_000913.3	1381947	1382852	+	906
ycjW	NC_000913.3	1382963	1383961	-	999
ycjX	NC_000913.3	1384117	1385514	+	1398
ycjF	NC_000913.3	1385511	1386572	+	1062
tyrR	NC_000913.3	1386720	1388261	+	1542
tpx	NC_000913.3	1388305	1388811	-	507
ycjG	NC_000913.3	1388930	1389895	+	966
mpaA	NC_000913.3	1389870	1390598	-	729
ymjC	NC_000913.3	1390680	1390862	-	183
ymjD	NC_000913.3	1390868	1390933	-	66
ycjY	NC_000913.3	1390933	1391853	-	921
pgrR	NC_000913.3	1391991	1392890	+	900
mppA	NC_000913.3	1393227	1394840	+	1614
ynaI	NC_000913.3	1394891	1395922	-	1032
insH4	NC_000913.3	1396112	1397092	+	981
ynaJ	NC_000913.3	1397365	1397622	+	258
uspE	NC_000913.3	1397672	1398622	-	951
fnr	NC_000913.3	1398774	1399526	-	753
ogt	NC_000913.3	1399721	1400236	-	516
abgT	NC_000913.3	1400247	1401773	-	1527
abgB	NC_000913.3	1401810	1403255	-	1446
abgA	NC_000913.3	1403255	1404565	-	1311
abgR	NC_000913.3	1404741	1405649	+	909
mcaS	NC_000913.3	1405658	1405751	-	94
smrA	NC_000913.3	1405979	1406542	+	564
dgcM	NC_000913.3	1406563	1407795	-	1233
ynaN	NC_000913.3	1407989	1408036	+	48
zntB	NC_000913.3	1408050	1409033	+	984
fnrS	NC_000913.3	1409129	1409250	+	122
ynaL	NC_000913.3	1409308	1409481	+	174
dbpA	NC_000913.3	1409511	1410884	+	1374
ttcA	NC_000913.3	1411013	1411948	-	936
intR	NC_000913.3	1412000	1413235	-	1236
xisR	NC_000913.3	1413237	1413452	-	216
rcbA	NC_000913.3	1413531	1413740	-	210
ralA	NC_000913.3	1413556	1413734	+	179
ralR	NC_000913.3	1413733	1413927	-	195
recT	NC_000913.3	1413984	1414793	-	810
recE	NC_000913.3	1414786	1417386	-	2601
racC	NC_000913.3	1417488	1417763	-	276
ydaE	NC_000913.3	1417838	1418008	-	171
kilR	NC_000913.3	1418008	1418229	-	222
kilS	NC_000913.3	1418405	1418502	-	98
sieB	NC_000913.3	1418671	1419159	+	489
ydaF	NC_000913.3	1419156	1419311	-	156
ydaG	NC_000913.3	1419322	1419456	-	135
racR	NC_000913.3	1419765	1420241	-	477
ydaS	NC_000913.3	1420365	1420661	+	297
ydaT	NC_000913.3	1420684	1421106	+	423
ydaU	NC_000913.3	1421119	1421976	+	858
ydaV	NC_000913.3	1421983	1422729	+	747
ydaW	NC_000913.3	1422752	1423312	+	561
rzpR	NC_000913.3	1423345	1423644	+	300
rzoR	NC_000913.3	1423400	1423585	+	186
trkG	NC_000913.3	1423782	1425239	+	1458
ynaK	NC_000913.3	1425377	1425640	+	264
ydaY	NC_000913.3	1425621	1425980	+	360
ynaA	NC_000913.3	1426454	1427482	+	1029
lomR	NC_000913.3	1427389	1428984	+	1596
insH5	NC_000913.3	1427746	1428726	-	981
stfR	NC_000913.3	1429049	1432411	+	3363
tfaR	NC_000913.3	1432411	1432986	+	576
pinR	NC_000913.3	1433084	1433674	-	591
ynaE	NC_000913.3	1433991	1434224	-	234
ynaM	NC_000913.3	1434293	1434406	-	114
ttcC	NC_000913.3	1434958	1435008	-	51
uspF	NC_000913.3	1435185	1435619	-	435
ompN	NC_000913.3	1435760	1436893	-	1134
micC	NC_000913.3	1437121	1437231	+	111
ydbK	NC_000913.3	1437260	1440784	-	3525
ydbJ	NC_000913.3	1441058	1441324	+	267
hslJ	NC_000913.3	1441321	1441743	-	423
ldhA	NC_000913.3	1441854	1442843	-	990
ydbH	NC_000913.3	1443051	1445690	+	2640
ynbE	NC_000913.3	1445687	1445872	+	186
ydbL	NC_000913.3	1445880	1446206	+	327
feaR	NC_000913.3	1446378	1447283	-	906
feaB	NC_000913.3	1447519	1449018	+	1500
tynA	NC_000913.3	1449076	1451349	-	2274
paaZ	NC_000913.3	1451597	1453642	-	2046
paaA	NC_000913.3	1453927	1454856	+	930
paaB	NC_000913.3	1454868	1455155	+	288
paaC	NC_000913.3	1455164	1455910	+	747
paaD	NC_000913.3	1455925	1456422	+	498
paaE	NC_000913.3	1456430	1457500	+	1071
paaF	NC_000913.3	1457497	1458264	+	768
paaG	NC_000913.3	1458264	1459052	+	789
paaH	NC_000913.3	1459054	1460481	+	1428
paaI	NC_000913.3	1460471	1460893	+	423
paaJ	NC_000913.3	1460893	1462098	+	1206
paaK	NC_000913.3	1462125	1463438	+	1314
paaX	NC_000913.3	1463539	1464489	+	951
paaY	NC_000913.3	1464471	1465061	+	591
ynbG	NC_000913.3	1465165	1465230	-	66
ydbA	NC_000913.3	1465392	1474013	+	8622
insD2	NC_000913.3	1467921	1468826	-	906
insC2	NC_000913.3	1468784	1469149	-	366
pdxI	NC_000913.3	1474221	1475081	+	861
ydbD	NC_000913.3	1475144	1477450	+	2307
ynbA	NC_000913.3	1477621	1478226	+	606
ynbB	NC_000913.3	1478226	1479122	+	897
ynbC	NC_000913.3	1479138	1480895	+	1758
ynbD	NC_000913.3	1480909	1482201	+	1293
azoR	NC_000913.3	1482255	1482860	-	606
hrpA	NC_000913.3	1483061	1486963	+	3903
ydcF	NC_000913.3	1487235	1488035	+	801
aldA	NC_000913.3	1488232	1489671	+	1440
gapC	NC_000913.3	1489713	1490713	-	1001
cybB	NC_000913.3	1490902	1491432	+	531
rydC	NC_000913.3	1491442	1491506	-	65
ydcA	NC_000913.3	1491677	1491850	+	174
yncP	NC_000913.3	1491876	1491944	+	69
hokB	NC_000913.3	1491922	1492071	-	150
mokB	NC_000913.3	1491962	1492129	-	168
sokB	NC_000913.3	1492119	1492175	+	57
trg	NC_000913.3	1492470	1494110	+	1641
ydcI	NC_000913.3	1494148	1495071	-	924
ydcJ	NC_000913.3	1495288	1496631	+	1344
opgD	NC_000913.3	1496856	1498511	+	1656
ydcH	NC_000913.3	1498651	1498875	+	225
rimL	NC_000913.3	1498938	1499477	+	540
ydcK	NC_000913.3	1499469	1500449	-	981
tehA	NC_000913.3	1500573	1501565	+	993
tehB	NC_000913.3	1501562	1502155	+	594
ydcL	NC_000913.3	1502457	1503125	+	669
yncK	NC_000913.3	1503218	1503649	-	432
insQ	NC_000913.3	1503657	1504865	+	1209
ydcO	NC_000913.3	1504905	1506080	-	1176
sutR	NC_000913.3	1506172	1506708	+	537
rlhA	NC_000913.3	1506781	1508742	+	1962
yncJ	NC_000913.3	1508834	1509064	-	231
hicA	NC_000913.3	1509286	1509462	+	177
hicB	NC_000913.3	1509508	1509924	+	417
ydcR	NC_000913.3	1510003	1511409	+	1407
ydcS	NC_000913.3	1511654	1512799	+	1146
ydcT	NC_000913.3	1512817	1513830	+	1014
ydcU	NC_000913.3	1513831	1514772	+	942
ydcV	NC_000913.3	1514762	1515556	+	795
patD	NC_000913.3	1515578	1517002	+	1425
yncL	NC_000913.3	1517099	1517194	-	96
ortT	NC_000913.3	1517389	1517562	+	174
ydcY	NC_000913.3	1517648	1517881	+	234
ydcZ	NC_000913.3	1517882	1518331	-	450
mnaT	NC_000913.3	1518328	1518846	-	519
curA	NC_000913.3	1519027	1520064	+	1038
mcbR	NC_000913.3	1520262	1520927	+	666
yncD	NC_000913.3	1520963	1523065	-	2103
yncE	NC_000913.3	1523307	1524368	+	1062
ansP	NC_000913.3	1524481	1525980	-	1500
yncG	NC_000913.3	1526247	1526864	+	618
yncH	NC_000913.3	1526940	1527152	+	213
rhsE	NC_000913.3	1527890	1529938	+	2049
ydcD	NC_000913.3	1529922	1530404	+	483
yncO	NC_000913.3	1530319	1530504	-	186
yncI	NC_000913.3	1530586	1531639	+	1054
ydcC	NC_000913.3	1531816	1532952	+	1137
pptA	NC_000913.3	1533052	1533285	+	234
yddH	NC_000913.3	1533282	1533851	-	570
nhoA	NC_000913.3	1534024	1534869	+	846
yddE	NC_000913.3	1534965	1535858	-	894
narV	NC_000913.3	1535937	1536617	-	681
narW	NC_000913.3	1536614	1537309	-	696
narY	NC_000913.3	1537309	1538853	-	1545
narZ	NC_000913.3	1538850	1542590	-	3741
narU	NC_000913.3	1542672	1544060	-	1389
yddJ	NC_000913.3	1544384	1544719	-	336
yddK	NC_000913.3	1544758	1545714	-	957
yddL	NC_000913.3	1545738	1546028	-	291
yddG	NC_000913.3	1546288	1547169	-	882
fdnG	NC_000913.3	1547401	1550448	+	3048
fdnH	NC_000913.3	1550461	1551345	+	885
fdnI	NC_000913.3	1551338	1551991	+	654
yddM	NC_000913.3	1552398	1552682	-	285
adhP	NC_000913.3	1552828	1553838	-	1011
maeA	NC_000913.3	1553972	1555669	-	1698
sra	NC_000913.3	1555826	1555963	-	138
bdm	NC_000913.3	1556065	1556280	-	216
osmC	NC_000913.3	1556625	1557056	+	432
ddpF	NC_000913.3	1557112	1558038	-	927
ddpD	NC_000913.3	1558031	1559017	-	987
ddpC	NC_000913.3	1559014	1559910	-	897
ddpB	NC_000913.3	1559907	1560929	-	1023
ddpA	NC_000913.3	1560931	1562481	-	1551
ddpX	NC_000913.3	1562495	1563076	-	582
dosP	NC_000913.3	1563334	1565733	-	2400
dosC	NC_000913.3	1565758	1567140	-	1383
yddY	NC_000913.3	1567178	1567219	-	42
digH	NC_000913.3	1567504	1568823	-	1320
gadC	NC_000913.3	1568954	1570489	-	1536
gadB	NC_000913.3	1570645	1572045	-	1401
pqqL	NC_000913.3	1572407	1575202	-	2796
yddB	NC_000913.3	1575247	1577619	-	2373
yddA	NC_000913.3	1577657	1579342	-	1686
yneP	NC_000913.3	1579545	1579667	+	123
ydeM	NC_000913.3	1579633	1580790	-	1158
ydeN	NC_000913.3	1580842	1582524	-	1683
ydeO	NC_000913.3	1582926	1583687	-	762
safA	NC_000913.3	1583762	1583959	-	198
ydeP	NC_000913.3	1584207	1586486	-	2280
ydeQ	NC_000913.3	1586820	1587734	-	915
ydeR	NC_000913.3	1587793	1588296	-	504
ydeS	NC_000913.3	1588309	1588839	-	531
ydeT	NC_000913.3	1588853	1590001	-	1149
yneL	NC_000913.3	1590334	1590536	-	203
hipA	NC_000913.3	1590854	1592176	-	1323
hipB	NC_000913.3	1592176	1592442	-	267
yneO	NC_000913.3	1592665	1598086	-	5422
lsrK	NC_000913.3	1598617	1600209	-	1593
lsrR	NC_000913.3	1600288	1601241	-	954
lsrA	NC_000913.3	1601490	1603025	+	1536
lsrC	NC_000913.3	1603019	1604047	+	1029
lsrD	NC_000913.3	1604047	1605039	+	993
lsrB	NC_000913.3	1605051	1606073	+	1023
lsrF	NC_000913.3	1606100	1606975	+	876
lsrG	NC_000913.3	1606999	1607289	+	291
tam	NC_000913.3	1607346	1608104	+	759
yneE	NC_000913.3	1608108	1609022	-	915
uxaB	NC_000913.3	1609229	1610680	-	1452
dgcF	NC_000913.3	1610907	1611854	-	948
yneG	NC_000913.3	1611966	1612325	-	360
glsB	NC_000913.3	1612325	1613251	-	927
sad	NC_000913.3	1613315	1614703	-	1389
yneJ	NC_000913.3	1614804	1615685	+	882
yneK	NC_000913.3	1615763	1616878	+	1116
ydeA	NC_000913.3	1617028	1618218	+	1191
marC	NC_000913.3	1618243	1618908	-	666
marR	NC_000913.3	1619120	1619554	+	435
marA	NC_000913.3	1619574	1619957	+	384
marB	NC_000913.3	1619989	1620207	+	219
eamA	NC_000913.3	1620238	1621137	-	900
ydeE	NC_000913.3	1621332	1622519	+	1188
mgtS	NC_000913.3	1622646	1622741	+	96
mgtT	NC_000913.3	1622741	1622845	+	105
mgrR	NC_000913.3	1622817	1622914	-	98
dgcZ	NC_000913.3	1622960	1623850	-	891
ydeI	NC_000913.3	1624105	1624497	-	393
ydeJ	NC_000913.3	1624773	1625291	+	519
dcp	NC_000913.3	1625335	1627380	-	2046
ydfG	NC_000913.3	1627517	1628263	+	747
rspR	NC_000913.3	1628352	1629038	+	687
ydfZ	NC_000913.3	1629215	1629418	+	204
ydfI	NC_000913.3	1629453	1630913	-	1461
ydfJ	NC_000913.3	1631002	1632285	-	1284
ynfT	NC_000913.3	1632890	1633003	+	114
ydfK	NC_000913.3	1633072	1633305	+	234
pinQ	NC_000913.3	1633622	1634212	+	591
tfaQ	NC_000913.3	1634310	1634885	-	576
stfQ	NC_000913.3	1634885	1635847	-	963
nohA	NC_000913.3	1635798	1636367	-	570
ynfO	NC_000913.3	1636756	1636989	+	234
ydfO	NC_000913.3	1637047	1637457	+	411
gnsB	NC_000913.3	1637609	1637782	-	174
ynfN	NC_000913.3	1637954	1638109	-	156
ynfR	NC_000913.3	1638188	1638253	-	66
ynfQ	NC_000913.3	1638256	1638444	-	189
cspI	NC_000913.3	1638455	1638667	-	213
rzpQ	NC_000913.3	1639030	1639527	-	498
rzoQ	NC_000913.3	1639080	1639334	-	255
rrrQ	NC_000913.3	1639524	1640057	-	534
ydfR	NC_000913.3	1640054	1640365	-	312
essQ	NC_000913.3	1640370	1640585	-	216
ynfU	NC_000913.3	1640805	1640975	+	171
cspB	NC_000913.3	1641339	1641554	-	216
cspF	NC_000913.3	1641855	1642067	+	213
ynfS	NC_000913.3	1642122	1642211	+	90
ydfT	NC_000913.3	1642489	1643241	-	753
ydfU	NC_000913.3	1643255	1644304	-	1050
rem	NC_000913.3	1644651	1644902	-	252
hokD	NC_000913.3	1645119	1645274	-	156
relE	NC_000913.3	1645346	1645633	-	288
relB	NC_000913.3	1645633	1645872	-	240
ydfV	NC_000913.3	1645897	1646202	+	306
flxA	NC_000913.3	1646405	1646737	+	333
ydfW	NC_000913.3	1647174	1647323	-	150
ydfX	NC_000913.3	1647346	1647636	-	291
dicC	NC_000913.3	1647620	1647850	-	231
dicA	NC_000913.3	1647934	1648341	+	408
ydfA	NC_000913.3	1648508	1648663	+	156
ydfB	NC_000913.3	1648665	1648793	+	129
ydfC	NC_000913.3	1648823	1649041	+	219
dicF	NC_000913.3	1649382	1649434	+	53
dicB	NC_000913.3	1649609	1649797	+	189
ydfD	NC_000913.3	1649794	1649985	+	192
ydfE	NC_000913.3	1650078	1650998	+	921
insD7	NC_000913.3	1650881	1651537	+	657
intQ	NC_000913.3	1651512	1652708	+	1197
ynfP	NC_000913.3	1652728	1652838	-	111
rspB	NC_000913.3	1652896	1653915	-	1020
rspA	NC_000913.3	1653927	1655141	-	1215
ynfA	NC_000913.3	1655347	1655673	-	327
ynfB	NC_000913.3	1655808	1656149	+	342
speG	NC_000913.3	1656184	1656744	+	561
ynfC	NC_000913.3	1656747	1657457	-	711
ynfD	NC_000913.3	1657565	1657870	+	306
ynfE	NC_000913.3	1658069	1660495	+	2427
ynfF	NC_000913.3	1660556	1662979	+	2424
ynfG	NC_000913.3	1662990	1663607	+	618
ynfH	NC_000913.3	1663609	1664463	+	855
dmsD	NC_000913.3	1664506	1665120	+	615
clcB	NC_000913.3	1665315	1666571	+	1257
bidA	NC_000913.3	1666524	1667219	-	696
mlc	NC_000913.3	1667344	1668564	-	1221
ynfL	NC_000913.3	1668699	1669592	-	894
ynfM	NC_000913.3	1669699	1670952	+	1254
asr	NC_000913.3	1671376	1671684	+	309
ydgU	NC_000913.3	1671777	1671860	+	84
ydgD	NC_000913.3	1671960	1672781	+	822
mdtI	NC_000913.3	1672820	1673149	-	330
mdtJ	NC_000913.3	1673136	1673501	-	366
mdtU	NC_000913.3	1673608	1673709	-	102
tqsA	NC_000913.3	1673913	1674947	+	1035
pntB	NC_000913.3	1674972	1676360	-	1389
pntA	NC_000913.3	1676371	1677903	-	1533
ydgH	NC_000913.3	1678427	1679371	+	945
ydgI	NC_000913.3	1679557	1680939	+	1383
folM	NC_000913.3	1680976	1681698	+	723
ydgC	NC_000913.3	1681695	1682030	-	336
rstA	NC_000913.3	1682159	1682878	+	720
rstB	NC_000913.3	1682882	1684183	+	1302
tus	NC_000913.3	1684259	1685188	+	930
fumC	NC_000913.3	1685185	1686588	-	1404
fumA	NC_000913.3	1686731	1688377	-	1647
manA	NC_000913.3	1688576	1689751	+	1176
ydgA	NC_000913.3	1689852	1691360	+	1509
uidC	NC_000913.3	1691586	1692851	-	1266
uidB	NC_000913.3	1692890	1694263	-	1374
uidA	NC_000913.3	1694260	1696071	-	1812
uidR	NC_000913.3	1696462	1697052	-	591
hdhA	NC_000913.3	1697273	1698040	-	768
malI	NC_000913.3	1698152	1699180	-	1029
malX	NC_000913.3	1699355	1700947	+	1593
malY	NC_000913.3	1700957	1702129	+	1173
add	NC_000913.3	1702233	1703234	+	1002
ydgJ	NC_000913.3	1703268	1704308	-	1041
blr	NC_000913.3	1704551	1704676	+	126
cnu	NC_000913.3	1704949	1705164	+	216
ydgK	NC_000913.3	1705250	1705690	+	441
rsxA	NC_000913.3	1705767	1706348	+	582
rsxB	NC_000913.3	1706348	1706926	+	579
rsxC	NC_000913.3	1706919	1709141	+	2223
rsxD	NC_000913.3	1709142	1710200	+	1059
rsxG	NC_000913.3	1710204	1710824	+	621
rsxE	NC_000913.3	1710828	1711523	+	696
nth	NC_000913.3	1711523	1712158	+	636
dtpA	NC_000913.3	1712769	1714271	+	1503
gstA	NC_000913.3	1714377	1714982	+	606
pdxY	NC_000913.3	1715026	1715889	-	864
tyrS	NC_000913.3	1715948	1717222	-	1275
pdxH	NC_000913.3	1717351	1718007	-	657
mliC	NC_000913.3	1718066	1718395	-	330
anmK	NC_000913.3	1718493	1719602	-	1110
slyB	NC_000913.3	1719876	1720343	+	468
slyA	NC_000913.3	1720390	1720824	-	435
ydhI	NC_000913.3	1721025	1721261	+	237
ydhJ	NC_000913.3	1721264	1722121	+	858
ydhK	NC_000913.3	1722121	1724133	+	2013
sodC	NC_000913.3	1724134	1724655	-	522
ydhF	NC_000913.3	1724736	1725632	-	897
ydhL	NC_000913.3	1725681	1725920	-	240
nemR	NC_000913.3	1726023	1726622	+	600
nemA	NC_000913.3	1726659	1727756	+	1098
